,Name,Price,Model Name,Color,SIM Type,Touchscreen,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Primary Camera Available,Primary Camera,Secondary Camera Available,Secondary Camera,Full HD Recording,Network Type,Bluetooth Support,Wi-Fi,Audio Jack,GPS Support,Battery Capacity,Weight,Domestic Warranty,Product Rating,Camera Rating,Battery Rating,Display Rating,Design Rating
174,Motorola a10  (Rose Gold),"₹1,424",a10,Rose Gold,Dual Sim,No,4.57 cm (1.8 inch),160 x 128 Pixels,0,Octa Core,2.2 GHz,0 MB,4 MB,No,64MP Rear Camera,No,8MP Front Camera,No,2G,Yes,No,3.5 mm,No,1750 mAh,81.9 g,2 Year,4.2,2.9,4.2,3.8,4.0
175,"vivo V27 5G (Magic Blue, 128 GB)  (8 GB RAM)","₹32,999",V27 5G,Magic Blue,Dual Sim,Yes,17.22 cm (6.78 Inch),2400 × 1080 Pixels,Android 13,Octa Core,2.8 GHz,128 GB,8 GB,Yes,50MP (OIS) + 8MP + 2MP,Yes,50MP Front Camera,No,"5G, 4G, 3G, 2G",Yes,Yes,3.5 mm,Yes,4600 mAh,180 g,1 Year,4.4,4.5,4.1,4.7,4.7
176,itel MagicX Pro (4G Hotspot)  (Blue),"₹2,647",MagicX Pro (4G Hotspot),Blue,Dual Sim,No,6.1 cm (2.4 inch),320 x 240 Pixels,RTOS,Octa Core,1 GHz,128 MB,64 MB,Yes,0.3MP Rear Camera,Yes,50MP Front Camera,No,4G,Yes,Yes,3.5 mm,Yes,2500 mAh,180 g,1 Year,3.9,2.5,3.9,3.6,3.9
177,"POCO M4 Pro (Yellow, 64 GB)  (6 GB RAM)","₹11,999",M4 Pro,Yellow,Dual Sim,Yes,16.33 cm (6.43 inch),2400 x 1080 Pixels,Android 11,Octa Core,2.05 GHz,64 GB,6 GB,Yes,64MP + 8MP + 2MP,Yes,16MP Front Camera,Yes,"4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,179.5 g,1 Year,4.3,3.9,4.1,4.3,4.1
178,"OPPO A17 (Lake Blue, 64 GB)  (4 GB RAM)","₹12,499",A17,Lake Blue,Dual Sim,Yes,16.66 cm (6.56 inch),1612 x 720 Pixels,Android 12,Octa Core,2.3 GHz,64 GB,4 GB,Yes,50MP + 0.3MP + 0.3MP,Yes,5MP Front Camera,Yes,"4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,189 g,1 Year,4.4,3.9,4.2,4.2,4.3
179,LAVA Hero 600i  (Sapphire Blue),₹909,Hero 600i,Sapphire Blue,Dual Sim,No,4.57 cm (1.8 inch),128*160,0,Octa Core,2.3 GHz,3 MB,4 MB,Yes,50MP + 0.3MP + 0.3MP,Yes,5MP Front Camera,No,2G,Yes,No,3.5mm,No,620 mAh,189 g,12 Months,4.1,3.1,3.8,4.0,4.0
180,"REDMI 10A (Sea Blue, 32 GB)  (3 GB RAM)","₹8,490",10A,Sea Blue,Dual Sim,Yes,16.59 cm (6.53 inch),1600X700 Pixels,Android,Octa Core,2.2 MHz,32 GB,3 GB,,13MP Rear Camera,,,,4G VOLTE,,,,,5000 mAh,,,4.1,3.5,4.0,3.8,3.7
181,"OPPO A17k (Navy Blue, 64 GB)  (3 GB RAM)","₹9,499",A17k,Navy Blue,Dual Sim,Yes,16.66 cm (6.56 inch),1612 x 720 Pixels,Android 12,Octa Core,2.3 GHz,64 GB,3 GB,Yes,8MP Rear Camera,Yes,5MP Front Camera,Yes,"4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,189 g,1 Year,4.5,3.6,4.0,4.0,4.0
182,"OPPO A17k (Gold, 64 GB)  (3 GB RAM)","₹9,499",A17k,Gold,Dual Sim,Yes,16.66 cm (6.56 inch),1612 x 720 Pixels,Android 12,Octa Core,2.3 GHz,64 GB,3 GB,Yes,8MP Rear Camera,Yes,5MP Front Camera,Yes,"4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,189 g,1 Year,4.5,3.6,4.0,4.0,4.0
183,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",iPhone 14,Midnight,Dual Sim(Nano + eSIM),Yes,15.49 cm (6.1 inch),2532 x 1170 Pixels,iOS 16,Hexa Core,2.3 GHz,128 GB,3 GB,Yes,12MP + 12MP,Yes,12MP Front Camera,Yes,"5G, 4G VOLTE, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,172 g,1 Year,4.6,4.6,4.4,4.6,4.6
184,"POCO X5 5G (Jaguar Black, 128 GB)  (6 GB RAM)","₹16,999",X5 5G,Jaguar Black,Dual Sim,Yes,16.94 cm (6.67 inch),2400 x 1080 Pixels,Android 12,Octa Core,2.2 GHz,128 GB,6 GB,Yes,48MP + 8MP + 2MP,Yes,13MP Front Camera,Yes,"2G, 3G, 4G, 4G VOLTE, 5G",Yes,Yes,3.5mm,Yes,5000 mAh,188 g,1 Year,4.2,3.3,4.2,4.3,4.0
185,"realme 9i 5G (Metallica Gold, 64 GB)  (4 GB RAM)","₹14,999",9i 5G,Metallica Gold,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,187 g,1 Year,4.5,3.9,4.1,4.1,4.3
186,"REDMI 10A (Charcoal Black, 64 GB)  (4 GB RAM)","₹8,694",10A,Charcoal Black,Dual Sim,Yes,16.59 cm (6.53 inch),1600X700 Pixels,Android,Octa Core,2.2 GHz,64 GB,4 GB,Yes,13MP Rear Camera,Yes,8MP Front Camera,Yes,4G VOLTE,Yes,Yes,3.5mm,Yes,5000 mAh,187 g,1 Year,4.2,3.5,3.9,3.8,3.8
187,"realme 9i 5G (Soulful Blue, 64 GB)  (4 GB RAM)","₹14,999",9i 5G,Soulful Blue,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,64 GB,4 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,187 g,1 Year,4.5,3.9,4.1,4.1,4.3
188,"realme 9i 5G (Rocking Black, 128 GB)  (6 GB RAM)","₹16,999",9i 5G,Rocking Black,Dual Sim,Yes,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 12,Octa Core,2.4 GHz,128 GB,6 GB,Yes,50MP + 2MP + 2MP,Yes,8MP Front Camera,Yes,"5G, 4G, 3G, 2G",Yes,Yes,3.5mm,Yes,5000 mAh,187 g,1 Year,4.3,3.9,4.1,4.1,4.2
189,"POCO X5 5G (Wildcat Blue, 128 GB)  (6 GB RAM)","₹16,999",X5 5G,Wildcat Blue,Dual Sim,Yes,16.94 cm (6.67 inch),2400 x 1080 Pixels,Android 12,Octa Core,2.2 GHz,128 GB,6 GB,Yes,48MP + 8MP + 2MP,Yes,13MP Front Camera,Yes,"2G, 3G, 4G, 4G VOLTE, 5G",Yes,Yes,3.5mm,Yes,5000 mAh,188 g,1 Year,4.2,3.3,4.2,4.3,4.0
190,Micromax X412  (Black&Red),₹932,X412,Black&Red,Dual Sim,No,4.5 cm (1.77 inch),320 x 240$$Pixels,Android 12,Octa Core,1 MHz,32 MB,32 MB,Yes,48MP + 8MP + 2MP,Yes,13MP Front Camera,Yes,2G,Yes,Yes,3.5mm,Yes,800 mAh,188 g,1 Year,3.9,2.5,3.5,3.3,3.6
191,itel It2171  (Elegant Black),₹999,It2171,Elegant Black,Dual Sim,No,4.57 cm (1.8 inch),320 x 240$$Pixels,Android 12,Octa Core,1 MHz,32 MB,32 MB,Yes,0.3MP Rear Camera,Yes,13MP Front Camera,Yes,2G,Yes,Yes,3.5mm,Yes,1000 mAh,188 g,1 Year,4.1,2.9,3.7,3.6,3.9
192,itel It2171  (City Blue),₹999,It2171,City Blue,Dual Sim,No,4.57 cm (1.8 inch),320 x 240$$Pixels,Android 12,Octa Core,1 MHz,32 MB,32 MB,Yes,0.3MP Rear Camera,Yes,13MP Front Camera,Yes,2G,Yes,Yes,3.5mm,Yes,1000 mAh,188 g,1 Year,4.1,2.9,3.7,3.6,3.9
